Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q7126183,Palace Mosque,40.36616,49.833466,Point(49.833466 40.36616),5,mosque,mosque,,,,,,,,,,,,"mosque in Baku, Azerbaijan",Palace Mosque,https://en.wikipedia.org/wiki/Palace_Mosque,True,,poi
Q25542993,Agabala Guliyev’s House,40.3744,49.8302,Point(49.8302 40.3744),5,building,building,,,,,Eugeniusz Skibiński,,,,,cultural heritage monument in Azerbaijan,Memarlar İttifaqının binası 2018.jpg,"building in Baku, Azerbaijan",Agabala Guliyev's House,https://en.wikipedia.org/wiki/Agabala_Guliyev%27s_House,True,,poi
Q21000431,House of Scientists,40.3608,49.8336,Point(49.8336 40.3608),5,building,building,1946-01-01T00:00:00Z,,,,"Mikayil Useynov, Sadig Dadashov",,,,,cultural heritage monument in Azerbaijan,Neftçilər pros. 001.JPG,"building in Baku, Azerbaijan",Scientists' residential house,https://en.wikipedia.org/wiki/Scientists%27_residential_house,True,,poi
Q105079015,Property of Haji Mustafa Rasulov,40.371416666,49.833444444,Point(49.833444444 40.371416666),5,building,building,1884-01-01T00:00:00Z,,,,Anton Kandinov,,,,,cultural heritage monument in Azerbaijan,Building on Suleyman Taghizade Street 78.jpg,"building in Baku, Azerbaijan",Property of Haji Mustafa Rasulov,https://en.wikipedia.org/wiki/Property_of_Haji_Mustafa_Rasulov,True,,poi
Q97223556,The House of Ramazanovs,40.364166666,49.834722222,Point(49.834722222 40.364166666),5,building,building,1895-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Baku ValiMammadovStreet24 004 7580.jpg,19th century building located in Old City Baku,The House of Ramazanovs,https://en.wikipedia.org/wiki/The_House_of_Ramazanovs,True,,poi
Q97170891,Monolith,40.369259,49.834005,Point(49.834005 40.369259),5,building,building,1931-01-01T00:00:00Z,1940-01-01T00:00:00Z,,Neoclassicism,Konstantin Senchikhin,,,,,cultural heritage monument in Azerbaijan,Monolit building in Baku.jpg,building,Monolith (building),https://en.wikipedia.org/wiki/Monolith_(building),True,,poi
Q21946191,House with Griffins,40.371388888,49.838888888,Point(49.838888888 40.371388888),5,building,house,1896-01-01T00:00:00Z,,,eclecticism,Johann Edel,,,,,cultural heritage monument in Azerbaijan,Qrifonlu ev (17).jpg,"building in Yusif Mammadaliyev Street Baku, Azerbaijan",Griffin House (Baku),https://en.wikipedia.org/wiki/Griffin_House_(Baku),True,,poi
Q85997101,Kerbalai Israfil Hajiyev’s Mansion,40.380503795,49.830384813,Point(49.830384813 40.380503795),5,building,building,1910-01-01T00:00:00Z,,,Gothic architecture,Józef Plośko,,,,,cultural heritage monument in Azerbaijan,Art Nouveau building in Baku.JPG,"building in Baku, Azerbaijan",Kerbalai Israfil Hajiyev's Mansion,https://en.wikipedia.org/wiki/Kerbalai_Israfil_Hajiyev%27s_Mansion,True,,poi
Q12849673,Shuvalan lighthouse,40.497972,50.229722,Point(50.229722 40.497972),5,building,lighthouse,1907-01-01T00:00:00Z,,12,,,,,,,,Шувеланский маяк.png,lighthouse in Azerbaijan,Shuvalan Lighthouse,https://en.wikipedia.org/wiki/Shuvalan_Lighthouse,False,,poi
Q20577819,Fizuli place,40.375591,49.831744,Point(49.831744 40.375591),5,square,square,,,,,,,,,,,Kubinskaya square and market in 1905.jpg,Place in capital of Azerbaijan,,,True,,poi
