Wikidata_ID,Name,Latitude,Longitude,WKT,Sitelinks,Primary_Class,All_Types,inception,official_opening,height_m,architectural_style,architect,founded_by,creator,material_used,named_after,heritage_designation,image,description,enwiki_title,enwiki_url,core_zone,coord_group,type_tag
Q386864,Heydar Aliyev International Airport,40.4675,50.046666666,Point(50.046666666 40.4675),69,building,"commercial traffic aerodrome, international airport",,1933-01-01T00:00:00Z,,,,,,,Heydar Aliyev,,,"international airport in Baku, Azerbaijan",Heydar Aliyev International Airport,https://en.wikipedia.org/wiki/Heydar_Aliyev_International_Airport,False,,poi
Q338889,Palace of the Shirvanshahs,40.366111111,49.833333333,Point(49.833333333 40.366111111),49,building,palace,1500-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,,Azerbaigian-baku3.jpg,palace in Azerbaijan,Palace of the Shirvanshahs,https://en.wikipedia.org/wiki/Palace_of_the_Shirvanshahs,True,,poi
Q344569,Old City of Baku,40.365033,49.836,Point(49.836 40.365033),49,architectural structure,fortification,1200-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,,Walled City of Baku.jpg,"the historical core of Baku, World Heritage Site",Old City (Baku),https://en.wikipedia.org/wiki/Old_City_(Baku),True,,poi
Q842822,Maiden Tower,40.366166666,49.83725,Point(49.83725 40.366166666),48,monument,"monument, tower",1200-01-01T00:00:00Z,,29.5,Shirvan-Absheron architectural school,,,,stone,,,Baku Maiden Tower 004 7736.jpg,"12th-century monument in the Old City, Baku, Azerbaijan",Maiden Tower (Baku),https://en.wikipedia.org/wiki/Maiden_Tower_(Baku),True,,poi
Q2559128,National Art Museum of Azerbaijan,40.363174,49.831742,Point(49.831742 40.363174),48,museum,art museum,1936-01-01T00:00:00Z,1937-05-06T00:00:00Z,,,Nikolaus von der Nonne,,,,Rustam Mustafayev,cultural heritage monument in Azerbaijan,Palace of De Bur.JPG,аrt museum in Baku,National Art Museum of Azerbaijan,https://en.wikipedia.org/wiki/National_Art_Museum_of_Azerbaijan,True,,poi
Q4076080,Baku railway station,40.38020064,49.850390986,Point(49.850390986 40.38020064),48,building,railway station,,1880-01-01T00:00:00Z,,,,,,,,cultural heritage monument in Azerbaijan,Бакинский железнодорожный вокзал Ноябрь 2024.jpg,railway station in Azerbaijan,Baku railway station,https://en.wikipedia.org/wiki/Baku_railway_station,True,,poi
Q2612138,Baku Olympic Stadium,40.429766,49.91979,Point(49.91979 40.429766),46,architectural structure,multi-purpose sports venue,2015-05-06T00:00:00Z,2015-03-06T00:00:00Z,,,Heerim Architects & Planners Co.,,,,,,Chelsea won UEFA Europa League final at Olympic Stadium and President Ilham Aliyev watched the final match 16.jpg,"sports stadium in Baku, Azerbaijan",Baku Olympic Stadium,https://en.wikipedia.org/wiki/Baku_Olympic_Stadium,False,,poi
Q1407274,Baku TV Tower,40.351388888,49.823333333,Point(49.823333333 40.351388888),40,building,television tower,1996-07-06T00:00:00Z,,310,,,,,,,,Baku Botanical Garden 60 (cropped).jpg,"a free standing concrete telecommunications tower in Baku, Azerbaijan",Baku TV Tower,https://en.wikipedia.org/wiki/Baku_TV_Tower,True,,poi
Q2664428,National Museum of History of Azerbaijan,40.369477777,49.840122222,Point(49.840122222 40.369477777),40,museum,museum,1920-01-01T00:00:00Z,1921-01-01T00:00:00Z,,,,,,,,,Tağıyevin sarayı 2020.jpg,"museum in Baku, Azerbaijan",National Museum of History of Azerbaijan,https://en.wikipedia.org/wiki/National_Museum_of_History_of_Azerbaijan,True,9.0,poi
Q48623,Azerbaijan State Academic Opera and Ballet Theater,40.374701,49.845397,Point(49.845397 40.374701),39,building,opera house,1920-01-01T00:00:00Z,1911-02-28T00:00:00Z,,"Art Nouveau architecture, Gothic architecture",Nikolai Bayev,,,,,cultural heritage monument in Azerbaijan,"Azerbaijan State Academic Opera and Ballet Theatre main façade, 2015.jpg","opera house in Baku, Azerbaijan",Azerbaijan State Academic Opera and Ballet Theater,https://en.wikipedia.org/wiki/Azerbaijan_State_Academic_Opera_and_Ballet_Theater,True,,poi
Q618714,Baku Crystal Hall,40.344125,49.850336,Point(49.850336 40.344125),39,architectural structure,arena,2012-01-01T00:00:00Z,2012-05-07T00:00:00Z,,Art Nouveau architecture,"Gerkan, Marg and Partners",,,,,,Baku bolvard and flag square 1.JPG,"indoor arena in Baku, Azerbaijan",Baku Crystal Hall,https://en.wikipedia.org/wiki/Baku_Crystal_Hall,True,,poi
Q17004958,Baku City Circuit,40.3725,49.8533,Point(49.8533 40.3725),39,architectural structure,street circuit,,,,,,,,,,,"Aerial View of Baku, May 2012.jpg","motor racing circuit in Baku, Azerbaijan.",Baku City Circuit,https://en.wikipedia.org/wiki/Baku_City_Circuit,True,,poi
Q1138958,Tofiq Bahramov Stadium,40.397333,49.852417,Point(49.852417 40.397333),37,building,association football venue,1951-09-16T00:00:00Z,1951-01-01T00:00:00Z,,,,,,,Tofiq Bahramov,cultural heritage monument in Azerbaijan,"Qarabagh - Young Boys, 27.08.2015 (1).JPG","Stadium in Baku, Azerbaijan",Tofiq Bahramov Republican Stadium,https://en.wikipedia.org/wiki/Tofiq_Bahramov_Republican_Stadium,True,,poi
Q80499,Flame Towers,40.359722222,49.826111111,Point(49.826111111 40.359722222),36,building,skyscraper,2012-04-01T00:00:00Z,2013-01-01T00:00:00Z,,,HOK,,,,,,View From Maidens Tower (221090097).jpeg,skyscraper,Flame Towers,https://en.wikipedia.org/wiki/Flame_Towers,True,,poi
Q2452280,Baku Zoo,40.392952862,49.848971579,Point(49.848971579 40.392952862),35,tourist attraction,zoo,1928-01-01T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Baku Zoo.jpg,"zoo in Baku, Azerbaijan",Baku Zoo,https://en.wikipedia.org/wiki/Baku_Zoo,True,,poi
Q43928,Heydar Aliyev Cultural Center,40.395277777,49.866944444,Point(49.866944444 40.395277777),34,building,performing arts center,2012-05-10T00:00:00Z,2012-05-10T00:00:00Z,,Futurism,"Zaha Hadid, Zaha Hadid Architects",,,"concrete, glass",Heydar Aliyev,,Baku 15 06 14 216000.jpeg,performing arts venue,Heydar Aliyev Center,https://en.wikipedia.org/wiki/Heydar_Aliyev_Center,True,,poi
Q754560,Ateshgah of Baku,40.415555555,50.008611111,Point(50.008611111 40.415555555),32,museum,"building, museum",1745-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,Tentative World Heritage Site,Jahlinmarceta baku temple.jpg,"Fire Temple in Surakhany, Baku, Azerbaijan",Ateshgah of Baku,https://en.wikipedia.org/wiki/Ateshgah_of_Baku,False,,poi
Q1136822,Azerbaijan Carpet Museum,40.359839955,49.835474746,Point(49.835474746 40.359839955),30,museum,art museum,1967-01-01T00:00:00Z,1967-01-01T00:00:00Z,,,Franz Janz,,,,,,Azərbaycan xalça muzeyi.jpg,art museum,Azerbaijan Carpet Museum,https://en.wikipedia.org/wiki/Azerbaijan_Carpet_Museum,True,,poi
Q1537647,Neft Daşları,40.252222222,50.84,Point(50.84 40.252222222),30,architectural structure,oil platform,1949-01-01T00:00:00Z,,,,,,,,,,Oil Rocks estacades.jpg,human settlement,Neft Daşları,https://en.wikipedia.org/wiki/Neft_Da%C5%9Flar%C4%B1,False,,poi
Q2096562,Taza Pir Mosque,40.372097,49.828671,Point(49.828671 40.372097),27,mosque,mosque,1905-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",Eugeniusz Skibiński,Nabat Ashurbeyli,,,,cultural heritage monument in Azerbaijan,Təzəpir məscidinin Mərkəzi parkdan görünüşü.jpg,"mosque in Baku, Azerbaijan",Taza Pir Mosque,https://en.wikipedia.org/wiki/Taza_Pir_Mosque,True,,poi
Q123753947,Azerbaijan Railway Museum,40.379692231,49.847986908,Point(49.847986908 40.379692231),27,museum,"museum, railway museum",2019-11-19T00:00:00Z,,,,,,,,,cultural heritage monument in Azerbaijan,Railway Museum in Baku.jpg,railway museum in Baku,Azerbaijan Railway Museum,https://en.wikipedia.org/wiki/Azerbaijan_Railway_Museum,True,,poi
Q856262,Bibi-Heybat Mosque,40.308611111,49.820277777,Point(49.820277777 40.308611111),25,mosque,"destroyed building or structure, mosque",1281-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",Mahmud ibn Sa'd,,,,,,Северная сторона мечети.jpg,Historical mosque in Baku,Bibi-Heybat Mosque,https://en.wikipedia.org/wiki/Bibi-Heybat_Mosque,False,,poi
Q1678321,Baku Museum of Modern Art,40.378018,49.86469,Point(49.86469 40.378018),25,museum,art museum,2009-03-20T00:00:00Z,2009-01-01T00:00:00Z,,,,,,,,,Outside - panoramio.jpg,"modern or contemporary art museum in Baku, Azerbaijan",Baku Museum of Modern Art,https://en.wikipedia.org/wiki/Baku_Museum_of_Modern_Art,True,,poi
Q4032454,Bakcell Arena,40.400163,49.944019,Point(49.944019 40.400163),25,building,stadium,2012-09-14T00:00:00Z,2012-09-14T00:00:00Z,,,,,,,,,İlham Əliyev Bakıda “8 KM” stadionunun açılışında iştirak etmişdir (1).jpg,"stadion in Baky, Azerbaijan",Neftçi Arena,https://en.wikipedia.org/wiki/Neft%C3%A7i_Arena,False,,poi
Q1535049,Muhammad Mosque,40.365406,49.834698,Point(49.834698 40.365406),23,mosque,mosque,1078-01-01T00:00:00Z,,,Islamic architecture,,,,,,,Məhəmməd məscidi.JPG,mosque in Azerbaijan,Muhammad Mosque,https://en.wikipedia.org/wiki/Muhammad_Mosque,True,,poi
Q2664885,Martyrs' Lane,40.357916666,49.827083333,Point(49.827083333 40.357916666),23,monument,"avenue, cemetery, war memorial",,1998-10-10T00:00:00Z,,,,,,,,cultural heritage monument in Azerbaijan,Martyrs' Lane common view.JPG,war monument in Baku,Martyrs' Lane,https://en.wikipedia.org/wiki/Martyrs%27_Lane,True,,poi
Q621107,National Flag Square,40.344444444,49.845,Point(49.845 40.344444444),23,square,square,,,,,,,,,,,New Baku Flagpole Sept 2024.jpg,"square in Baku, Azerbaijan",State Flag Square (Baku),https://en.wikipedia.org/wiki/State_Flag_Square_(Baku),True,,poi
Q4160569,Juma Mosque in Baku,40.365611111,49.83575,Point(49.83575 40.365611111),22,mosque,mosque,1899-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Juma mosque-Old City Baku Azerbaijan 19th century4.jpg,"a 12th century mosque in Baku, Azerbaijan","Juma Mosque, Baku","https://en.wikipedia.org/wiki/Juma_Mosque,_Baku",True,,poi
Q597749,Baku Puppet Theatre,40.3672,49.8392,Point(49.8392 40.3672),22,building,"playhouse, puppetry building",1931-01-01T00:00:00Z,,,Neoclassical architecture,Józef Plośko,,,,,,Abdulla Şaiq adına Dövlət Kukla Teatrı (2).jpg,"State puppet theatre in Baku, Azerbaijan",Baku Puppet Theatre,https://en.wikipedia.org/wiki/Baku_Puppet_Theatre,True,,poi
Q2584583,Azerbaijan State Academic National Drama Theatre,40.375294,49.831217,Point(49.831217 40.375294),21,building,theatre building,1873-03-10T00:00:00Z,1919-10-24T00:00:00Z,,,,,,,"Dadash Bunyadzade, Meshadi Azizbekov",,Азербайджанский драматический театр.jpg,"theatre in Baku, Azerbaijan",Azerbaijan State Academic National Drama Theatre,https://en.wikipedia.org/wiki/Azerbaijan_State_Academic_National_Drama_Theatre,True,,poi
Q19273430,Heydar Mosque,40.429166666,49.824444444,Point(49.824444444 40.429166666),20,mosque,mosque,,,,Shirvan-Absheron architectural school,Adalet Mammadov,,,,Heydar Aliyev,,Haydar Mescidi.jpg,"mosque named after Heydar Aliyev in Binagadi, Baku, Azerbaijan",Heydar Mosque,https://en.wikipedia.org/wiki/Heydar_Mosque,True,,poi
Q2665945,Baku Boulevard,40.36,49.8371,Point(49.8371 40.36),20,architectural structure,street,1909-01-01T00:00:00Z,,,,,,,,,,"Vista de Baku, Azerbaiyán, 2016-09-26, DD 120-124 PAN.jpg","street in Baku, Azerbaijan",Baku Boulevard,https://en.wikipedia.org/wiki/Baku_Boulevard,True,,street
Q1521003,Palatial mosque in Baku,40.366069444,49.833041666,Point(49.833041666 40.366069444),19,mosque,mosque,1441-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,,Şah məscidi interyer.jpg,mosque,Palatial mosque in Baku,https://en.wikipedia.org/wiki/Palatial_mosque_in_Baku,True,,poi
Q12841468,Lökbatan Mud Volcano,40.304444444,49.709166666,Point(49.709166666 40.304444444),19,monument,mud volcano,,,,,,,,,,Tentative World Heritage Site,Mud Volcano in Gobustan 01.jpg,mountain in Azerbaijan,Lökbatan Mud Volcano,https://en.wikipedia.org/wiki/L%C3%B6kbatan_Mud_Volcano,False,,poi
Q2020145,Həzi Aslanov,40.373611111,49.953888888,Point(49.953888888 40.373611111),19,building,"metro station, underground station",2002-01-01T00:00:00Z,2002-12-10T00:00:00Z,,,Rasim Aliyev,,,,Hazi Aslanov,,Hazi Aslanov station.JPG,"metro station in Baku, Azerbaijan",Hazi Aslanov (Baku Metro),https://en.wikipedia.org/wiki/Hazi_Aslanov_(Baku_Metro),False,,transit
Q1817541,Alexander Nevsky Cathedral,40.369587901,49.831975799,Point(49.831975799 40.369587901),19,cathedral,"Eastern Orthodox cathedral, Eastern Orthodox church building, destroyed building or structure",1898-01-01T00:00:00Z,,55,Russian Revival architecture,,,,brick,Alexander Nevsky,,"Alexander Nevsky Cathedral, Baku.jpg","church in Baku Governorate, Russian Empire","Alexander Nevsky Cathedral, Baku","https://en.wikipedia.org/wiki/Alexander_Nevsky_Cathedral,_Baku",True,,poi
Q1072217,Tuba Shahi Mosque,40.491847222,50.140805555,Point(50.140805555 40.491847222),18,mosque,mosque,1481-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Tuba Şahi məscidi 2024 (5).jpg,mosque,Tuba Shahi Mosque,https://en.wikipedia.org/wiki/Tuba_Shahi_Mosque,False,,poi
Q2347389,Government House,40.373888888,49.8525,Point(49.8525 40.373888888),18,building,building,1952-01-01T00:00:00Z,,,"Baroque, Stalinist Empire style",Lev Rudnev,,,,,,"Stamps of Azerbaijan, 2012-1030.jpg",Azerbaijani government building in Baku,"Government House, Baku","https://en.wikipedia.org/wiki/Government_House,_Baku",True,,poi
Q390733,ASK Arena,40.410986,49.897711,Point(49.897711 40.410986),18,building,association football venue,,,,,,,,,,,"""ASK Arena"" after replacement of a covering.jpg",football stadium,ASK Arena,https://en.wikipedia.org/wiki/ASK_Arena,True,,poi
Q2094390,Dalga Arena,40.492222,50.138889,Point(50.138889 40.492222),18,building,stadium,,,,,,,,,,,Dalga Arena.jpg,stadium in Azerbaijan,Dalga Arena,https://en.wikipedia.org/wiki/Dalga_Arena,False,,poi
Q2427287,Icheri Sheher,40.365963,49.83173,Point(49.83173 40.365963),18,building,"last station, metro station, underground station",1967-11-06T00:00:00Z,1967-11-06T00:00:00Z,,,,,,,,,81-765 train arrives Icheri Sheher.jpg,"metro station in Baku, Azerbaijan",Icheri Sheher (Baku Metro),https://en.wikipedia.org/wiki/Icheri_Sheher_(Baku_Metro),True,,transit_mixed
Q3025366,Sahil,40.371739,49.844539,Point(49.844539 40.371739),18,building,"metro station, underground station",,1967-11-06T00:00:00Z,,,Martin Tovmasyan,,,,,,Sahil metro station 2.jpg,"metro station in Baku, Azerbaijan",Sahil (Baku Metro),https://en.wikipedia.org/wiki/Sahil_(Baku_Metro),True,,transit
Q3025343,Bakmil,40.4137,49.8791,Point(49.8791 40.4137),18,building,"last station, metro station, station located on surface",1979-01-01T00:00:00Z,1979-03-28T00:00:00Z,,,,,,,,,81-717M at Bakmil metro station.jpg,"metro station in Baku, Azerbaijan",Bakmil,https://en.wikipedia.org/wiki/Bakmil,True,,transit_mixed
Q1125310,Nəriman Nərimanov,40.402777777,49.870555555,Point(49.870555555 40.402777777),18,building,"metro station, underground station",,1967-11-06T00:00:00Z,,,Mikayil Useynov,,,,,,N.Nərimanov metrostansiyası 2016.03.15.jpg,"metro station in Baku, Azerbaijan",Nariman Narimanov (Baku Metro),https://en.wikipedia.org/wiki/Nariman_Narimanov_(Baku_Metro),True,,transit
Q5474853,"Fountains Square, Baku",40.370833333,49.836666666,Point(49.836666666 40.370833333),17,square,square,1868-01-01T00:00:00Z,,,,,,,,,,"Fountains Square5, August 2010.JPG","place in Baku, Azerbaijan","Fountains Square, Baku","https://en.wikipedia.org/wiki/Fountains_Square,_Baku",True,,poi
Q1014729,Ramana Tower,40.45613,49.980058,Point(49.980058 40.45613),17,architectural structure,"castle, fortress",1400-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Ramana Castle.jpg,fortress in Azerbaijan,Ramana Tower,https://en.wikipedia.org/wiki/Ramana_Tower,False,,poi
Q4075930,Baku Funicular,40.35849,49.8285,Point(49.8285 40.35849),17,architectural structure,funicular,,,,,,,,,,cultural heritage monument in Azerbaijan,Baku Funicular.jpg,"funicular system in Baku, Azerbaijan",Baku Funicular,https://en.wikipedia.org/wiki/Baku_Funicular,True,,poi
Q616786,Gənclik,40.39981,49.851145,Point(49.851145 40.39981),17,building,"metro station, underground station",,1967-11-06T00:00:00Z,,,Lev Popov,,,,,,Баку Станція метро Гянджлік.jpg,"Baku Metro station in Baku, Azerbaijan",Ganjlik (Baku Metro),https://en.wikipedia.org/wiki/Ganjlik_(Baku_Metro),True,,transit
Q3025592,Şah İsmail Xətai,40.382777777,49.871944444,Point(49.871944444 40.382777777),17,building,"metro station, underground station",,1968-02-22T00:00:00Z,,,,,,,Ismail I,,İlham Əliyev Bakı Metropoliteninin “Xətai” stansiyasında görülən işlərlə tanış olub.jpg,"metro station in Baku, Azerbaijan",Shah Ismail Khatai (Baku Metro),https://en.wikipedia.org/wiki/Shah_Ismail_Khatai_(Baku_Metro),True,,transit
Q3025554,Dərnəgül (Baku Metro),40.425555555,49.860555555,Point(49.860555555 40.425555555),17,building,"metro station, terminus, underground station",,2011-06-29T00:00:00Z,,,,,,,,,Dernegul metro station.jpg,"metro station in Baku, Azerbaijan",Darnagul (Baku Metro),https://en.wikipedia.org/wiki/Darnagul_(Baku_Metro),True,,transit_mixed
Q3025367,28 May,40.379986111,49.848966666,Point(49.848966666 40.379986111),17,building,"metro station, underground station",,1967-11-06T00:00:00Z,,,,,,,May 28,,Станция метро 28 мая Ноябрь 2024.jpg,"metro station in Baku, Azerbaijan",28 May (Baku Metro),https://en.wikipedia.org/wiki/28_May_(Baku_Metro),True,,transit
Q58823,Azerbaijan State Philharmonic Hall,40.364085,49.831641,Point(49.831641 40.364085),17,building,concert hall,1912-01-01T00:00:00Z,2004-01-27T00:00:00Z,,"Renaissance architecture, Rococo",Gavriil Ter-Mikelov,,,,Muslim Magomayev,cultural heritage monument in Azerbaijan,FilarmonaSide.JPG,concert hall in Baku,Azerbaijan State Academic Philharmonic Hall,https://en.wikipedia.org/wiki/Azerbaijan_State_Academic_Philharmonic_Hall,True,,poi
Q16415387,Ajdarbey Mosque,40.385913,49.837801,Point(49.837801 40.385913),16,mosque,mosque,1913-12-03T00:00:00Z,,,Shirvan-Absheron architectural school,Zivar bay Ahmadbayov,,,,,cultural heritage monument in Azerbaijan,Ajdarbey Mosque Baku.jpg,mosque in Baku,Ajdarbey Mosque,https://en.wikipedia.org/wiki/Ajdarbey_Mosque,True,,poi
Q12848542,Chin Mosque,40.366,49.832505,Point(49.832505 40.366),16,mosque,mosque,1375-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Interior of China mosque.JPG,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Chin Mosque,https://en.wikipedia.org/wiki/Chin_Mosque,True,,poi
Q12838048,Beyler Mosque,40.366126,49.834469,Point(49.834469 40.366126),16,mosque,mosque,1895-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Bəylər məscidi (aprel 2016)-1.jpg,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Beyler Mosque,https://en.wikipedia.org/wiki/Beyler_Mosque,True,,poi
Q6538185,Lezgi Mosque,40.365577083,49.836174723,Point(49.836174723 40.365577083),16,mosque,mosque,1169-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Aşur məscidi.JPG,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Ashur Mosque,https://en.wikipedia.org/wiki/Ashur_Mosque,True,,poi
Q4189918,Ismailiyya building,40.368574,49.833684,Point(49.833684 40.368574),16,building,building,1913-01-01T00:00:00Z,,,"Gothic architecture, Gothic art",Józef Plośko,,,,,cultural heritage monument in Azerbaijan,"Ismailiyye palace main façade, Baku, 2015.jpg","Presidium of the Academy of Sciences of Azerbaijan, situated in the capital of Baku",Ismailiyya Palace,https://en.wikipedia.org/wiki/Ismailiyya_Palace,True,,poi
Q4874537,Bayil Stadium,40.332217,49.817664,Point(49.817664 40.332217),16,building,stadium,2012-01-01T00:00:00Z,2012-01-01T00:00:00Z,,,,,,,,,"Bayıl Arena, May 2022.jpg","stadium in Bayil, Baku, Azerbaijan",Bayil Arena,https://en.wikipedia.org/wiki/Bayil_Arena,False,,poi
Q3025421,Elmlər Akademiyası,40.375,49.81527778,Point(49.81527778 40.375),16,building,"metro station, underground station",1985-01-01T00:00:00Z,1985-12-31T00:00:00Z,,,Mikayil Useynov,,,,,,Hayırdır İnşallah - panoramio.jpg,"metro station in Baku, Azerbaijan",Elmler Akademiyasi (Baku Metro),https://en.wikipedia.org/wiki/Elmler_Akademiyasi_(Baku_Metro),True,,transit
Q3024552,Ahmedli,40.385648,49.953918,Point(49.953918 40.385648),16,building,"metro station, underground station",,1989-04-28T00:00:00Z,,,,,,,,,Ahmadli.png,"metro station in Baku, Azerbaijan",Ahmedli (Baku Metro),https://en.wikipedia.org/wiki/Ahmedli_(Baku_Metro),False,,transit
Q2008806,Neftchilar,40.4112,49.9429,Point(49.9429 40.4112),16,building,"metro station, underground station",1972-01-01T00:00:00Z,1970-11-06T00:00:00Z,,,Enver Ismailov,,,,,,Körpü. metro Neftçilər.jpg,"metro station in Baku, Azerbaijan",Neftchilar (Baku Metro),https://en.wikipedia.org/wiki/Neftchilar_(Baku_Metro),False,,transit
Q1109176,Ulduz,40.414722222,49.892222222,Point(49.892222222 40.414722222),16,building,"metro station, underground station",,1970-05-05T00:00:00Z,,,Anver Gasimzade,,,,,,Ulduz metrostansiyası.jpg,"metro station in Baku, Azerbaijan",Ulduz (Baku Metro),https://en.wikipedia.org/wiki/Ulduz_(Baku_Metro),True,,transit
Q2559058,Baku Museum of Miniature Books,40.366388888,49.8325,Point(49.8325 40.366388888),16,museum,miniatures museum,2002-01-01T00:00:00Z,2002-04-02T00:00:00Z,,,,,,,,,Outside the museum of miniature books.jpg,"book Museum in Baku, Azerbaijan",Baku Museum of Miniature Books,https://en.wikipedia.org/wiki/Baku_Museum_of_Miniature_Books,True,,poi
Q20573552,Baba Kuhi Bakuvi mosque,40.366099,49.83701,Point(49.83701 40.366099),15,mosque,mosque,0900-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Archeological site near Maiden Towers of Baku6.jpg,"mosque in Baku, Azerbaijan",Baba Kuhi Bakuvi Mosque,https://en.wikipedia.org/wiki/Baba_Kuhi_Bakuvi_Mosque,True,,poi
Q12849537,Sheikh Ibrahim Mosque,40.364678,49.834544,Point(49.834544 40.364678),15,mosque,mosque,1415-01-01T00:00:00Z,,,Shirvan-Absheron architectural school,,,,,,cultural heritage monument in Azerbaijan,Şeyx İbrahim məscidi.JPG,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Sheikh Ibrahim Mosque,https://en.wikipedia.org/wiki/Sheikh_Ibrahim_Mosque,True,,poi
Q1609839,Church of the Immaculate Conception,40.4167,49.8833,Point(49.8833 40.4167),15,cathedral,"church building, pro-cathedral",2007-04-29T00:00:00Z,,,"Gothic Revival, postmodern architecture",Józef Plośko,,,,,,Church in Baku.jpg,"Roman Catholic church in Baku, Azerbaijan","Church of the Immaculate Conception, Baku","https://en.wikipedia.org/wiki/Church_of_the_Immaculate_Conception,_Baku",True,,poi
Q3025522,Azadlig Avenue,40.42596,49.84293,Point(49.84293 40.42596),15,building,"metro station, underground station",2009-01-01T00:00:00Z,2009-12-30T00:00:00Z,,,Elbay Gasimzade,,,,,,Azadlıq prospekti metrostansiyası 2015.12.26.jpg,"metro station in Baku, Azerbaijan",Azadliq prospekti (Baku Metro),https://en.wikipedia.org/wiki/Azadliq_prospekti_(Baku_Metro),True,,transit
Q3025436,İnşaatçılar,40.388888888,49.8025,Point(49.8025 40.388888888),15,building,"metro station, underground station",1985-01-01T00:00:00Z,1985-12-31T00:00:00Z,,,,,,,,,İnşaatçılar metrostansiyasının içi.JPG,"metro station in Baku, Azerbaijan",Inshaatchilar (Baku Metro),https://en.wikipedia.org/wiki/Inshaatchilar_(Baku_Metro),True,,transit
Q3025411,Nizami Gəncəvi,40.379444444,49.829722222,Point(49.829722222 40.379444444),15,building,"metro station, underground station",1976-01-01T00:00:00Z,1976-12-31T00:00:00Z,,,,,,,Nizami Ganjavi,cultural heritage monument in Azerbaijan,"Bakı, Nizami metrostansiyası.jpg","metro station in Baku, Azerbaijan",Nizami Gəncəvi (Baku Metro),https://en.wikipedia.org/wiki/Nizami_G%C9%99nc%C9%99vi_(Baku_Metro),True,,transit
Q3024692,Qara Qarayev,40.4177,49.9342,Point(49.9342 40.4177),15,building,"metro station, underground station",1972-11-06T00:00:00Z,1972-11-06T00:00:00Z,,,"Alesker Huseynov, Hanifa Alasgarov",,,,,,,"metro station in Baku, Azerbaijan",Gara Garayev (Baku Metro),https://en.wikipedia.org/wiki/Gara_Garayev_(Baku_Metro),False,,transit
Q3024561,Halglar Dostlugu (Baku Metro),40.39693,49.952922,Point(49.952922 40.39693),15,building,"metro station, underground station",,1989-04-28T00:00:00Z,,,Rasim Aliyev,,,,,,Xalqlar dostluğu metrostansiyası.JPG,"metro station in Baku, Azerbaijan",Halglar Dostlugu (Baku Metro),https://en.wikipedia.org/wiki/Halglar_Dostlugu_(Baku_Metro),False,,transit
Q2500152,Nizami Museum of Azerbaijani Literature,40.3699226,49.8363876,Point(49.8363876 40.3699226),15,museum,museum,1939-01-01T00:00:00Z,1945-05-14T00:00:00Z,,,,,,,,cultural heritage monument in Azerbaijan,Nizami Gəncəvi adına Azərbaycan Ədəbiyyat Muzeyi 2015.jpg,museum in Baku,Nizami Museum of Azerbaijani Literature,https://en.wikipedia.org/wiki/Nizami_Museum_of_Azerbaijani_Literature,True,,poi
Q12847654,Khidir Mosque,40.365,49.833888888,Point(49.833888888 40.365),14,mosque,mosque,1301-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Xıdır məscidi (iyul 2016).jpg,"A mosque and historical architectural monument located in Baku, Azerbaijan.",Khidir Mosque,https://en.wikipedia.org/wiki/Khidir_Mosque,True,,poi
Q21012753,Hajji Heybat mosque,40.367222222,49.833333333,Point(49.833333333 40.367222222),14,mosque,mosque,1791-01-01T00:00:00Z,,,"Islamic architecture, Shirvan-Absheron architectural school",,,,,,cultural heritage monument in Azerbaijan,Hacı Heybət məscidinin giriş qapısı.JPG,"mosque in Baku, Azerbaijan",Haji Heybat Mosque,https://en.wikipedia.org/wiki/Haji_Heybat_Mosque,True,,poi
