place_id,name,category,lat,lng,opening_hours,address,business_status,fetched_at,coverage
ChIJYQCMRGGHMEAReDPkF7ZLr_E,Lady Sharm Azadliq,shopping_mall,40.417746099999995,49.8405329,,"CR9R+36V, Cəfər Xəndan Küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJfe1U_vCHMEARlNyXthH_zk0,EDEL MEBEL,shopping_mall,40.4128632,49.844551300000006,,"CR7V+4RV, Ziya Bünyadov, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJbaORmD6HMEARA5G_wdQt9rQ,Love Me Moda,shopping_mall,40.4246432,49.8425852,,"91 Ibrahimpaşa Dadaşov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJQXPts-KHMEARyitBMWbASp4,Elite Ticarət və Əyləncə Mərkəzi,shopping_mall,40.419776999999996,49.85428,,"CV93+WP6, Əcəmi Naxçıvani, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJEXd2Mf2HMEARnaAD-eqdB0w,Baku Karting Event Center,tourist_attraction,40.419776999999996,49.85428,,"Elite Ticarət Mərkəzi, Əcəmi Naxçıvani, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJqZYAuFF9MEARF8uFVq4yBxA,Aztex Plaza,shopping_mall,40.413601199999995,49.8587151,,"31 Əhməd Rəcəbli, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJS0aHKQ59MEAR1ZIaulLmiig,Fanicular,tourist_attraction,40.409261699999995,49.8670924,,"CV58+PR4, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJ606hdQB9MEAR14sYdD4VTV0,Azermedical mmc,shopping_mall,40.4086567,49.8602881,,"CV56+C5V, Baku, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJTdh3WACHMEARGrSFzcyHiis,Ahmed recebli,shopping_mall,40.415686799999996,49.858902799999996,,"CV85+7HC, Əhməd Rəcəbli, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJg_jRUlF9MEARPAkoTxm8c_U,Tech Plaza,shopping_mall,40.413523,49.8579876,,"CV75+C55, Əhməd Rəcəbli, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJP7R3SUR9MEARbxpSWT7vsWE,Azikcavid,shopping_mall,40.4005309,49.864641999999996,,"CV27+6V6, Həsənoğlu, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJKTav-kF9MEAR864vCIBituk,Navis Store Baku,shopping_mall,40.402890299999996,49.870008,,"98 Təbriz, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJkTv0UTtjMEARNDfoVN8KByI,AS Mebel Aksesuar,shopping_mall,40.4273175,49.899815499999995,,"Ziya Bunyadov, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJb0MBLyaIMEAREGoOxJbjNbM,Opel-Dernegul,shopping_mall,40.4295878,49.894799199999994,,"40°25'46. 49°53'41., 2""N M-5, Dəliməmmədli 2216, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJgU3Lw5uHMEAR5UgxwTBTaeE,Gitex.az,shopping_mall,40.405934599999995,49.874379399999995,,"20F Əşrəf Əliyev, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
ChIJKUzWX5l9MEARn5ouh5Kvzys,"""Yol-Nişan"" MMC",shopping_mall,40.4212597,49.888547599999995,,"10 Araz küçəsi, Bakı, Azerbaijan",OPERATIONAL,2026-08-03,extra:coarse
